! Nsteps =   422   
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.000E+00  0.000E+00  1.000E+04  1.831E+02  2.179E+01  1.000E-01
0.000E+00  1.046E+03  1.000E+04  1.839E+02  2.177E+01  1.104E-01
0.000E+00  2.092E+03  1.000E+04  1.846E+02  2.175E+01  1.207E-01
0.000E+00  3.138E+03  1.000E+04  1.852E+02  2.173E+01  1.311E-01
0.000E+00  4.184E+03  1.000E+04  1.857E+02  2.171E+01  1.414E-01
0.000E+00  5.663E+03  1.000E+04  1.864E+02  2.169E+01  1.561E-01
0.000E+00  7.142E+03  1.000E+04  1.869E+02  2.167E+01  1.707E-01
0.000E+00  8.622E+03  1.000E+04  1.873E+02  2.164E+01  1.854E-01
0.000E+00  1.010E+04  1.000E+04  1.877E+02  2.162E+01  2.000E-01
0.000E+00  1.136E+04  1.000E+04  1.881E+02  2.160E+01  2.125E-01
0.000E+00  1.263E+04  1.000E+04  1.885E+02  2.157E+01  2.250E-01
0.000E+00  1.389E+04  1.000E+04  1.889E+02  2.154E+01  2.375E-01
0.000E+00  1.515E+04  1.000E+04  1.894E+02  2.150E+01  2.500E-01
0.000E+00  1.641E+04  1.000E+04  1.897E+02  2.147E+01  2.625E-01
0.000E+00  1.768E+04  1.000E+04  1.899E+02  2.144E+01  2.750E-01
0.000E+00  1.894E+04  1.000E+04  1.902E+02  2.137E+01  2.875E-01
0.000E+00  2.020E+04  1.000E+04  1.903E+02  2.133E+01  3.000E-01
0.000E+00  2.167E+04  1.000E+04  1.903E+02  2.126E+01  3.145E-01
0.000E+00  2.314E+04  1.000E+04  1.902E+02  2.119E+01  3.291E-01
0.000E+00  2.461E+04  1.000E+04  1.900E+02  2.114E+01  3.436E-01
0.000E+00  2.608E+04  1.000E+04  1.896E+02  2.105E+01  3.582E-01
0.000E+00  2.755E+04  1.000E+04  1.890E+02  2.098E+01  3.727E-01
0.000E+00  2.902E+04  1.000E+04  1.882E+02  2.089E+01  3.873E-01
0.000E+00  3.044E+04  1.000E+04  1.875E+02  2.082E+01  4.014E-01
0.000E+00  3.187E+04  1.000E+04  1.864E+02  2.073E+01  4.155E-01
0.000E+00  3.471E+04  1.000E+04  1.851E+02  2.063E+01  4.436E-01
0.000E+00  3.756E+04  1.000E+04  1.834E+02  2.052E+01  4.718E-01
0.000E+00  4.040E+04  1.000E+04  1.819E+02  2.043E+01  5.000E-01
0.000E+00  4.293E+04  1.000E+04  1.797E+02  2.030E+01  5.250E-01
0.000E+00  4.545E+04  1.000E+04  1.774E+02  2.018E+01  5.500E-01
0.000E+00  4.798E+04  1.000E+04  1.745E+02  2.004E+01  5.750E-01
0.000E+00  5.114E+04  1.000E+04  1.723E+02  1.994E+01  6.062E-01
0.000E+00  5.429E+04  1.000E+04  1.689E+02  1.979E+01  6.375E-01
0.000E+00  5.745E+04  1.000E+04  1.655E+02  1.964E+01  6.687E-01
0.000E+00  6.061E+04  1.000E+04  1.613E+02  1.947E+01  7.000E-01
0.000E+00  6.313E+04  1.000E+04  1.581E+02  1.934E+01  7.250E-01
0.000E+00  6.591E+04  1.000E+04  1.558E+02  1.925E+01  7.525E-01
0.000E+00  6.869E+04  1.000E+04  1.523E+02  1.911E+01  7.800E-01
0.000E+00  7.146E+04  1.000E+04  1.489E+02  1.898E+01  8.075E-01
0.000E+00  7.424E+04  1.000E+04  1.455E+02  1.885E+01  8.350E-01
0.000E+00  7.702E+04  1.000E+04  1.426E+02  1.874E+01  8.625E-01
0.000E+00  7.980E+04  1.000E+04  1.377E+02  1.855E+01  8.900E-01
0.000E+00  8.258E+04  1.000E+04  1.341E+02  1.841E+01  9.175E-01
0.000E+00  8.535E+04  1.000E+04  1.315E+02  1.831E+01  9.450E-01
0.000E+00  8.813E+04  1.000E+04  1.278E+02  1.817E+01  9.725E-01
0.000E+00  9.091E+04  1.000E+04  1.241E+02  1.802E+01  1.000E+00
0.000E+00  9.352E+04  1.000E+04  1.194E+02  1.784E+01  1.026E+00
0.000E+00  9.614E+04  1.000E+04  1.160E+02  1.770E+01  1.052E+00
0.000E+00  9.875E+04  1.000E+04  1.136E+02  1.760E+01  1.078E+00
0.000E+00  1.014E+05  1.000E+04  1.100E+02  1.746E+01  1.104E+00
0.000E+00  1.040E+05  1.000E+04  1.066E+02  1.732E+01  1.129E+00
0.000E+00  1.066E+05  1.000E+04  1.041E+02  1.721E+01  1.155E+00
0.000E+00  1.092E+05  1.000E+04  1.019E+02  1.713E+01  1.181E+00
0.000E+00  1.118E+05  1.000E+04  9.986E+01  1.704E+01  1.207E+00
0.000E+00  1.144E+05  1.000E+04  9.686E+01  1.691E+01  1.233E+00
0.000E+00  1.171E+05  1.000E+04  9.468E+01  1.682E+01  1.259E+00
0.000E+00  1.197E+05  1.000E+04  9.153E+01  1.668E+01  1.285E+00
0.000E+00  1.223E+05  1.000E+04  8.852E+01  1.655E+01  1.311E+00
0.000E+00  1.249E+05  1.000E+04  8.677E+01  1.647E+01  1.337E+00
0.000E+00  1.275E+05  1.000E+04  8.507E+01  1.639E+01  1.362E+00
0.000E+00  1.301E+05  1.000E+04  8.362E+01  1.633E+01  1.388E+00
0.000E+00  1.327E+05  1.000E+04  8.220E+01  1.626E+01  1.414E+00
0.000E+00  1.353E+05  1.000E+04  8.099E+01  1.621E+01  1.440E+00
0.000E+00  1.379E+05  1.000E+04  7.980E+01  1.615E+01  1.465E+00
0.000E+00  1.405E+05  1.000E+04  7.778E+01  1.606E+01  1.491E+00
