Nsteps =      412
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  0.0000000E+00  1.0000000E+04  1.8193735E+02  2.0429274E+01  5.0000000E-01
0.0000000E+00  2.6315789E+03  1.0000000E+04  1.7972773E+02  2.0304676E+01  5.2500000E-01
0.0000000E+00  5.2631579E+03  1.0000000E+04  1.7742699E+02  2.0184484E+01  5.5000000E-01
0.0000000E+00  7.8947368E+03  1.0000000E+04  1.7452302E+02  2.0042261E+01  5.7500000E-01
0.0000000E+00  1.1184211E+04  1.0000000E+04  1.7229625E+02  1.9938999E+01  6.0625000E-01
0.0000000E+00  1.4473684E+04  1.0000000E+04  1.6893095E+02  1.9788980E+01  6.3750000E-01
0.0000000E+00  1.7763158E+04  1.0000000E+04  1.6552385E+02  1.9644211E+01  6.6875000E-01
0.0000000E+00  2.1052632E+04  1.0000000E+04  1.6128046E+02  1.9468851E+01  7.0000000E-01
0.0000000E+00  2.3684211E+04  1.0000000E+04  1.5811565E+02  1.9341707E+01  7.2500000E-01
0.0000000E+00  2.6578947E+04  1.0000000E+04  1.5576119E+02  1.9248614E+01  7.5250000E-01
0.0000000E+00  2.9473684E+04  1.0000000E+04  1.5228680E+02  1.9112371E+01  7.8000000E-01
0.0000000E+00  3.2368421E+04  1.0000000E+04  1.4887354E+02  1.8979942E+01  8.0750000E-01
0.0000000E+00  3.5263158E+04  1.0000000E+04  1.4549429E+02  1.8849598E+01  8.3500000E-01
0.0000000E+00  3.8157895E+04  1.0000000E+04  1.4260240E+02  1.8738359E+01  8.6250000E-01
0.0000000E+00  4.1052632E+04  1.0000000E+04  1.3769288E+02  1.8549600E+01  8.9000000E-01
0.0000000E+00  4.3947368E+04  1.0000000E+04  1.3413483E+02  1.8412662E+01  9.1750000E-01
0.0000000E+00  4.6842105E+04  1.0000000E+04  1.3154077E+02  1.8312410E+01  9.4500000E-01
0.0000000E+00  4.9736842E+04  1.0000000E+04  1.2776211E+02  1.8165777E+01  9.7250000E-01
0.0000000E+00  5.2631579E+04  1.0000000E+04  1.2411874E+02  1.8023414E+01  1.0000000E+00
0.0000000E+00  5.5356668E+04  1.0000000E+04  1.1940609E+02  1.7837416E+01  1.0258884E+00
0.0000000E+00  5.8081758E+04  1.0000000E+04  1.1601780E+02  1.7702473E+01  1.0517767E+00
0.0000000E+00  6.0806846E+04  1.0000000E+04  1.1356249E+02  1.7603704E+01  1.0776650E+00
0.0000000E+00  6.3531936E+04  1.0000000E+04  1.1000364E+02  1.7459300E+01  1.1035534E+00
0.0000000E+00  6.6257025E+04  1.0000000E+04  1.0659298E+02  1.7319205E+01  1.1294417E+00
0.0000000E+00  6.8982115E+04  1.0000000E+04  1.0407951E+02  1.7214815E+01  1.1553301E+00
0.0000000E+00  7.1707203E+04  1.0000000E+04  1.0194589E+02  1.7125386E+01  1.1812184E+00
0.0000000E+00  7.4432293E+04  1.0000000E+04  9.9857583E+01  1.7037687E+01  1.2071068E+00
0.0000000E+00  7.7157382E+04  1.0000000E+04  9.6856563E+01  1.6909280E+01  1.2329951E+00
0.0000000E+00  7.9882472E+04  1.0000000E+04  9.4678686E+01  1.6815371E+01  1.2588835E+00
0.0000000E+00  8.2607560E+04  1.0000000E+04  9.1528948E+01  1.6678217E+01  1.2847718E+00
0.0000000E+00  8.5332649E+04  1.0000000E+04  8.8516881E+01  1.6545353E+01  1.3106602E+00
0.0000000E+00  8.8057739E+04  1.0000000E+04  8.6772174E+01  1.6467505E+01  1.3365485E+00
0.0000000E+00  9.0782828E+04  1.0000000E+04  8.5071119E+01  1.6391110E+01  1.3624369E+00
0.0000000E+00  9.3507917E+04  1.0000000E+04  8.3618326E+01  1.6325431E+01  1.3883252E+00
0.0000000E+00  9.6233006E+04  1.0000000E+04  8.2200468E+01  1.6260818E+01  1.4142136E+00
0.0000000E+00  9.8913952E+04  1.0000000E+04  8.0986370E+01  1.6205141E+01  1.4396825E+00
0.0000000E+00  1.0159490E+05  1.0000000E+04  7.9798018E+01  1.6150251E+01  1.4651515E+00
0.0000000E+00  1.0427584E+05  1.0000000E+04  7.7777753E+01  1.6056053E+01  1.4906205E+00
0.0000000E+00  1.0695679E+05  1.0000000E+04  7.6071501E+01  1.5975526E+01  1.5160895E+00
0.0000000E+00  1.0963773E+05  1.0000000E+04  7.4419359E+01  1.5896724E+01  1.5415584E+00
0.0000000E+00  1.1231868E+05  1.0000000E+04  7.3214696E+01  1.5838731E+01  1.5670274E+00
0.0000000E+00  1.1499962E+05  1.0000000E+04  7.2040271E+01  1.5781670E+01  1.5924964E+00
0.0000000E+00  1.1768057E+05  1.0000000E+04  7.0332519E+01  1.5697792E+01  1.6179654E+00
0.0000000E+00  1.2036151E+05  1.0000000E+04  6.9092939E+01  1.5636204E+01  1.6434343E+00
0.0000000E+00  1.2304245E+05  1.0000000E+04  6.7886906E+01  1.5575727E+01  1.6689033E+00
0.0000000E+00  1.2572340E+05  1.0000000E+04  6.6713868E+01  1.5516338E+01  1.6943723E+00
0.0000000E+00  1.2840434E+05  1.0000000E+04  6.5572931E+01  1.5458019E+01  1.7198413E+00
0.0000000E+00  1.3108529E+05  1.0000000E+04  6.4451370E+01  1.5400130E+01  1.7453102E+00
0.0000000E+00  1.3376623E+05  1.0000000E+04  6.3629979E+01  1.5357405E+01  1.7707792E+00
0.0000000E+00  1.3644718E+05  1.0000000E+04  6.2826630E+01  1.5315266E+01  1.7962482E+00
0.0000000E+00  1.3912812E+05  1.0000000E+04  6.2040288E+01  1.5273703E+01  1.8217172E+00
0.0000000E+00  1.4180907E+05  1.0000000E+04  6.1270694E+01  1.5232710E+01  1.8471861E+00
0.0000000E+00  1.4449001E+05  1.0000000E+04  6.0435049E+01  1.5187820E+01  1.8726551E+00
0.0000000E+00  1.4717096E+05  1.0000000E+04  5.9619306E+01  1.5143614E+01  1.8981241E+00
0.0000000E+00  1.4985190E+05  1.0000000E+04  5.8823261E+01  1.5100081E+01  1.9235931E+00
0.0000000E+00  1.5253285E+05  1.0000000E+04  5.8046573E+01  1.5057212E+01  1.9490620E+00
0.0000000E+00  1.5521379E+05  1.0000000E+04  5.7102801E+01  1.5004544E+01  1.9745310E+00
