Nsteps =      439
! r (AU)     t (yr)   nH (cm-3)  Tgas (K)   Tdust (K)   Av (mag)
0.0000000E+00  0.0000000E+00  1.0000000E+04  1.8306849E+02  2.1793129E+01  1.0000000E-01
0.0000000E+00  1.0459938E+03  1.0000000E+04  1.8386663E+02  2.1772438E+01  1.1035534E-01
0.0000000E+00  2.0919877E+03  1.0000000E+04  1.8457507E+02  2.1751961E+01  1.2071068E-01
0.0000000E+00  3.1379815E+03  1.0000000E+04  1.8517493E+02  2.1732847E+01  1.3106602E-01
0.0000000E+00  4.1839754E+03  1.0000000E+04  1.8571604E+02  2.1713914E+01  1.4142136E-01
0.0000000E+00  5.6632340E+03  1.0000000E+04  1.8643013E+02  2.1685850E+01  1.5606602E-01
0.0000000E+00  7.1424927E+03  1.0000000E+04  1.8690557E+02  2.1665057E+01  1.7071068E-01
0.0000000E+00  8.6217514E+03  1.0000000E+04  1.8733214E+02  2.1644478E+01  1.8535534E-01
0.0000000E+00  1.0101010E+04  1.0000000E+04  1.8771542E+02  2.1624107E+01  2.0000000E-01
0.0000000E+00  1.1363636E+04  1.0000000E+04  1.8806011E+02  2.1603941E+01  2.1250000E-01
0.0000000E+00  1.2626263E+04  1.0000000E+04  1.8851566E+02  2.1573719E+01  2.2500000E-01
0.0000000E+00  1.3888889E+04  1.0000000E+04  1.8890456E+02  2.1543940E+01  2.3750000E-01
0.0000000E+00  1.5151515E+04  1.0000000E+04  1.8937334E+02  2.1500069E+01  2.5000000E-01
0.0000000E+00  1.6414141E+04  1.0000000E+04  1.8965244E+02  2.1467769E+01  2.6250000E-01
0.0000000E+00  1.7676768E+04  1.0000000E+04  1.8987371E+02  2.1435963E+01  2.7500000E-01
0.0000000E+00  1.8939394E+04  1.0000000E+04  1.9015690E+02  2.1373762E+01  2.8750000E-01
0.0000000E+00  2.0202020E+04  1.0000000E+04  1.9027720E+02  2.1326719E+01  3.0000000E-01
