! Initial radius: 1.0000E+00 AU
! Number of timesteps:     499
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   1.000000000E+00   0.000000000E+00   3.000000000E+03   1.483444623E+01   1.483444623E+01   2.998326436E+00   6.000838328E+00
  -9.808897601E+05   1.000000000E+00   0.000000000E+00   3.015426468E+03   1.482288528E+01   1.482288528E+01   3.004208389E+00   6.012629720E+00
  -9.789240492E+05   1.000000000E+00   0.000000000E+00   3.030932263E+03   1.481131753E+01   1.481131753E+01   3.010101880E+00   6.024444280E+00
  -9.769583382E+05   1.000000000E+00   0.000000000E+00   3.046517790E+03   1.479974308E+01   1.479974308E+01   3.016006932E+00   6.036282056E+00
  -9.749926273E+05   1.000000000E+00   0.000000000E+00   3.062183461E+03   1.478816198E+01   1.478816198E+01   3.021923569E+00   6.048143093E+00
  -9.730269163E+05   1.000000000E+00   0.000000000E+00   3.077929687E+03   1.477657431E+01   1.477657431E+01   3.027851813E+00   6.060027436E+00
  -9.710612054E+05   1.000000000E+00   0.000000000E+00   3.093756883E+03   1.476498015E+01   1.476498015E+01   3.033791687E+00   6.071935132E+00
  -9.690954944E+05   1.000000000E+00   0.000000000E+00   3.109665465E+03   1.475337955E+01   1.475337955E+01   3.039743213E+00   6.083866225E+00
  -9.671297835E+05   1.000000000E+00   0.000000000E+00   3.125655851E+03   1.474177261E+01   1.474177261E+01   3.045706414E+00   6.095820763E+00
  -9.651640726E+05   1.000000000E+00   0.000000000E+00   3.141728462E+03   1.473015938E+01   1.473015938E+01   3.051681314E+00   6.107798790E+00
  -9.631983616E+05   1.000000000E+00   0.000000000E+00   3.157883721E+03   1.471853995E+01   1.471853995E+01   3.057667935E+00   6.119800354E+00
  -9.612326507E+05   1.000000000E+00   0.000000000E+00   3.174122053E+03   1.470691440E+01   1.470691440E+01   3.063666300E+00   6.131825501E+00
  -9.592669397E+05   1.000000000E+00   0.000000000E+00   3.190443884E+03   1.469528279E+01   1.469528279E+01   3.069676432E+00   6.143874277E+00
  -9.573012288E+05   1.000000000E+00   0.000000000E+00   3.206849646E+03   1.468364520E+01   1.468364520E+01   3.075698355E+00   6.155946727E+00
  -9.553355179E+05   1.000000000E+00   0.000000000E+00   3.223339768E+03   1.467200172E+01   1.467200172E+01   3.081732091E+00   6.168042900E+00
  -9.533698069E+05   1.000000000E+00   0.000000000E+00   3.239914685E+03   1.466035242E+01   1.466035242E+01   3.087777664E+00   6.180162841E+00
  -9.514040960E+05   1.000000000E+00   0.000000000E+00   3.256574833E+03   1.464869737E+01   1.464869737E+01   3.093835097E+00   6.192306597E+00
  -9.494383850E+05   1.000000000E+00   0.000000000E+00   3.273320650E+03   1.463703666E+01   1.463703666E+01   3.099904413E+00   6.204474216E+00
  -9.474726741E+05   1.000000000E+00   0.000000000E+00   3.290152576E+03   1.462537037E+01   1.462537037E+01   3.105985635E+00   6.216665743E+00
  -9.455069631E+05   1.000000000E+00   0.000000000E+00   3.307071055E+03   1.461369857E+01   1.461369857E+01   3.112078787E+00   6.228881226E+00
  -9.435412522E+05   1.000000000E+00   0.000000000E+00   3.324076532E+03   1.460202135E+01   1.460202135E+01   3.118183893E+00   6.241120712E+00
  -9.415755413E+05   1.000000000E+00   0.000000000E+00   3.341169453E+03   1.459033879E+01   1.459033879E+01   3.124300975E+00   6.253384248E+00
  -9.396098303E+05   1.000000000E+00   0.000000000E+00   3.358350269E+03   1.457865098E+01   1.457865098E+01   3.130430057E+00   6.265671881E+00
  -9.376441194E+05   1.000000000E+00   0.000000000E+00   3.375619431E+03   1.456695798E+01   1.456695798E+01   3.136571163E+00   6.277983659E+00
  -9.356784084E+05   1.000000000E+00   0.000000000E+00   3.392977394E+03   1.455525990E+01   1.455525990E+01   3.142724316E+00   6.290319629E+00
  -9.337126975E+05   1.000000000E+00   0.000000000E+00   3.410424614E+03   1.454355681E+01   1.454355681E+01   3.148889540E+00   6.302679839E+00
  -9.317469865E+05   1.000000000E+00   0.000000000E+00   3.427961551E+03   1.453184880E+01   1.453184880E+01   3.155066859E+00   6.315064336E+00
  -9.297812756E+05   1.000000000E+00   0.000000000E+00   3.445588665E+03   1.452013595E+01   1.452013595E+01   3.161256296E+00   6.327473168E+00
  -9.278155647E+05   1.000000000E+00   0.000000000E+00   3.463306421E+03   1.450841835E+01   1.450841835E+01   3.167457875E+00   6.339906382E+00
  -9.258498537E+05   1.000000000E+00   0.000000000E+00   3.481115284E+03   1.449669609E+01   1.449669609E+01   3.173671620E+00   6.352364028E+00
  -9.238841428E+05   1.000000000E+00   0.000000000E+00   3.499015723E+03   1.448496926E+01   1.448496926E+01   3.179897555E+00   6.364846152E+00
  -9.219184318E+05   1.000000000E+00   0.000000000E+00   3.517008209E+03   1.447323794E+01   1.447323794E+01   3.186135703E+00   6.377352803E+00
  -9.199527209E+05   1.000000000E+00   0.000000000E+00   3.535093215E+03   1.446150222E+01   1.446150222E+01   3.192386090E+00   6.389884029E+00
  -9.179870100E+05   1.000000000E+00   0.000000000E+00   3.553271217E+03   1.444976220E+01   1.444976220E+01   3.198648737E+00   6.402439879E+00
