! Initial radius: 4.1091E+03 AU
! Number of timesteps:    1454
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -9.828554710E+05   4.109134315E+03   0.000000000E+00   3.000000000E+03   1.506167408E+01   1.506167408E+01   2.882854848E+00   5.965983853E+00
  -9.808897601E+05   4.109134315E+03   0.000000000E+00   3.002917606E+03   1.505164214E+01   1.505164214E+01   2.887963440E+00   5.977480793E+00
  -9.789240492E+05   4.109134315E+03   0.000000000E+00   3.018238545E+03   1.504160613E+01   1.504160613E+01   2.893081085E+00   5.988999888E+00
  -9.769583382E+05   4.109134315E+03   0.000000000E+00   3.033637652E+03   1.503156606E+01   1.503156606E+01   2.898207798E+00   6.000541182E+00
  -9.749926273E+05   4.109134315E+03   0.000000000E+00   3.049115325E+03   1.502152197E+01   1.502152197E+01   2.903343596E+00   6.012104716E+00
  -9.730269163E+05   4.109134315E+03   0.000000000E+00   3.064671966E+03   1.501147389E+01   1.501147389E+01   2.908488495E+00   6.023690535E+00
  -9.710612054E+05   4.109134315E+03   0.000000000E+00   3.080307976E+03   1.500142183E+01   1.500142183E+01   2.913642511E+00   6.035298680E+00
  -9.690954944E+05   4.109134315E+03   0.000000000E+00   3.096023762E+03   1.499136583E+01   1.499136583E+01   2.918805661E+00   6.046929195E+00
  -9.671297835E+05   4.109134315E+03   0.000000000E+00   3.111819731E+03   1.498130591E+01   1.498130591E+01   2.923977960E+00   6.058582123E+00
  -9.651640726E+05   4.109134315E+03   0.000000000E+00   3.127696290E+03   1.497124209E+01   1.497124209E+01   2.929159424E+00   6.070257508E+00
  -9.631983616E+05   4.109134315E+03   0.000000000E+00   3.143653852E+03   1.496117441E+01   1.496117441E+01   2.934350070E+00   6.081955391E+00
  -9.612326507E+05   4.109134315E+03   0.000000000E+00   3.159692830E+03   1.495083710E+01   1.495083710E+01   2.939549915E+00   6.093675818E+00
  -9.592669397E+05   4.109134315E+03   0.000000000E+00   3.175813639E+03   1.494045870E+01   1.494045870E+01   2.944758974E+00   6.105418831E+00
  -9.573012288E+05   4.109134315E+03   0.000000000E+00   3.192016696E+03   1.493007420E+01   1.493007420E+01   2.949977263E+00   6.117184473E+00
  -9.553355179E+05   4.109134315E+03   0.000000000E+00   3.208302422E+03   1.491968365E+01   1.491968365E+01   2.955204800E+00   6.128972789E+00
